id,segment,region,channel,product,quantity,price,revenue,discount,created_at
501,Enterprise,South,Web,Product_10,2,127,227,27,2026-04-26
502,MidMarket,East,Partner,Product_11,3,144,428,4,2026-04-27
503,Startup,West,Retail,Product_12,4,161,633,11,2026-04-28
504,SMB,Central,Web,Product_01,5,178,872,18,2026-04-01
505,Enterprise,North,Partner,Product_02,6,195,1145,25,2026-04-02
506,MidMarket,South,Retail,Product_03,7,212,1482,2,2026-04-03
507,Startup,East,Web,Product_04,8,229,1823,9,2026-04-04
508,SMB,West,Partner,Product_05,9,246,2198,16,2026-04-05
509,Enterprise,Central,Retail,Product_06,10,23,207,23,2026-04-06
510,MidMarket,North,Web,Product_07,11,40,440,0,2026-04-07
511,Startup,South,Partner,Product_08,12,57,677,7,2026-04-08
512,SMB,East,Retail,Product_09,13,74,948,14,2026-04-09
513,Enterprise,West,Web,Product_10,14,91,1253,21,2026-04-10
514,MidMarket,Central,Partner,Product_11,15,108,1592,28,2026-04-11
515,Startup,North,Retail,Product_12,16,125,1995,5,2026-04-12
516,SMB,South,Web,Product_01,17,142,2402,12,2026-04-13
517,Enterprise,East,Partner,Product_02,18,159,2843,19,2026-04-14
518,MidMarket,West,Retail,Product_03,19,176,3318,26,2026-04-15
519,Startup,Central,Web,Product_04,20,193,3857,3,2026-04-16
520,SMB,North,Partner,Product_05,1,210,200,10,2026-04-17
521,Enterprise,South,Retail,Product_06,2,227,437,17,2026-04-18
522,MidMarket,East,Web,Product_07,3,244,708,24,2026-04-19
523,Startup,West,Partner,Product_08,4,21,83,1,2026-04-20
524,SMB,Central,Retail,Product_09,5,38,182,8,2026-04-21
525,Enterprise,North,Web,Product_10,6,55,315,15,2026-04-22
526,MidMarket,South,Partner,Product_11,7,72,482,22,2026-04-23
527,Startup,East,Retail,Product_12,8,89,683,29,2026-04-24
528,SMB,West,Web,Product_01,9,106,948,6,2026-04-25
529,Enterprise,Central,Partner,Product_02,10,123,1217,13,2026-04-26
530,MidMarket,North,Retail,Product_03,11,140,1520,20,2026-04-27
531,Startup,South,Web,Product_04,12,157,1857,27,2026-04-28
532,SMB,East,Partner,Product_05,13,174,2258,4,2026-04-01
533,Enterprise,West,Retail,Product_06,14,191,2663,11,2026-04-02
